comment,sentiment
Such high quality and informative.,POSITIVE
It's fine.,POSITIVE
Bad audio and confusing message.,NEGATIVE
Keep up the amazing work!,POSITIVE
Thanks for the upload.,POSITIVE
I expected better.,NEGATIVE
"This is exactly what I needed today, thank you!",POSITIVE
I’ve seen similar videos.,NEGATIVE
Very disappointing content.,NEGATIVE
This was so helpful and well explained.,POSITIVE
It's fine.,POSITIVE
Not helpful whatsoever.,NEGATIVE
You’ve earned a new subscriber!,POSITIVE
It's fine.,POSITIVE
Bad audio and confusing message.,NEGATIVE
You’ve earned a new subscriber!,POSITIVE
I’ve seen similar videos.,NEGATIVE
This was poorly made.,NEGATIVE
This made my day better.,POSITIVE
It's fine.,POSITIVE
Very disappointing content.,NEGATIVE
This was so helpful and well explained.,POSITIVE
I watched it.,POSITIVE
The video quality is terrible.,NEGATIVE
Absolutely loved this video! Great job!,POSITIVE
Nice video.,POSITIVE
The video quality is terrible.,NEGATIVE
Absolutely loved this video! Great job!,POSITIVE
Okay content.,POSITIVE
I didn’t like this at all.,NEGATIVE
Keep up the amazing work!,POSITIVE
I’ve seen similar videos.,NEGATIVE
Waste of time.,NEGATIVE
One of the best videos I've seen.,POSITIVE
I’ve seen similar videos.,NEGATIVE
This was poorly made.,NEGATIVE
This made my day better.,POSITIVE
Not sure what to think about this.,NEGATIVE
I didn’t like this at all.,NEGATIVE
Absolutely loved this video! Great job!,POSITIVE
Not sure what to think about this.,NEGATIVE
Bad audio and confusing message.,NEGATIVE
You’ve earned a new subscriber!,POSITIVE
Interesting perspective.,POSITIVE
Bad audio and confusing message.,NEGATIVE
This was so helpful and well explained.,POSITIVE
I watched it.,POSITIVE
Not helpful whatsoever.,NEGATIVE
Truly inspirational!,POSITIVE
Nice video.,POSITIVE
This is not worth watching.,NEGATIVE
This was so helpful and well explained.,POSITIVE
Thanks for the upload.,POSITIVE
Not helpful whatsoever.,NEGATIVE
Truly inspirational!,POSITIVE
I’ve seen similar videos.,NEGATIVE
Not helpful whatsoever.,NEGATIVE
"This is exactly what I needed today, thank you!",POSITIVE
It's fine.,POSITIVE
You should improve your content.,POSITIVE
