comment,sentiment
Such high quality and informative.,positive
It's fine.,neutral
Bad audio and confusing message.,negative
Keep up the amazing work!,positive
Thanks for the upload.,neutral
I expected better.,negative
"This is exactly what I needed today, thank you!",positive
I’ve seen similar videos.,neutral
Very disappointing content.,negative
This was so helpful and well explained.,positive
It's fine.,neutral
Not helpful whatsoever.,negative
You’ve earned a new subscriber!,positive
It's fine.,neutral
Bad audio and confusing message.,negative
You’ve earned a new subscriber!,positive
I’ve seen similar videos.,neutral
This was poorly made.,negative
This made my day better.,positive
It's fine.,neutral
Very disappointing content.,negative
This was so helpful and well explained.,positive
I watched it.,neutral
The video quality is terrible.,negative
Absolutely loved this video! Great job!,positive
Nice video.,neutral
The video quality is terrible.,negative
Absolutely loved this video! Great job!,positive
Okay content.,neutral
I didn’t like this at all.,negative
Keep up the amazing work!,positive
I’ve seen similar videos.,neutral
Waste of time.,negative
One of the best videos I've seen.,positive
I’ve seen similar videos.,neutral
This was poorly made.,negative
This made my day better.,positive
Not sure what to think about this.,neutral
I didn’t like this at all.,negative
Absolutely loved this video! Great job!,positive
Not sure what to think about this.,neutral
Bad audio and confusing message.,negative
You’ve earned a new subscriber!,positive
Interesting perspective.,neutral
Bad audio and confusing message.,negative
This was so helpful and well explained.,positive
I watched it.,neutral
Not helpful whatsoever.,negative
Truly inspirational!,positive
Nice video.,neutral
This is not worth watching.,negative
This was so helpful and well explained.,positive
Thanks for the upload.,neutral
Not helpful whatsoever.,negative
Truly inspirational!,positive
I’ve seen similar videos.,neutral
Not helpful whatsoever.,negative
"This is exactly what I needed today, thank you!",positive
It's fine.,neutral
You should improve your content.,negative
